"","Length","Width","L.Syc","L.Ovary","R.Syc","R.Ovary","Ostiole"
"70",1.39836363636364,1.18958741258741,0.173804195804196,0.155678321678322,0.174286713286713,0.153846153846154,0.152244755244755
"96",1.19131460674157,1.25236516853933,0.150421348314607,0.163297752808989,0.147567415730337,0.164308988764045,0.157050561797753
"112",1.18911808118081,1.1579963099631,0.110815498154982,0.16019557195572,0.109848708487085,0.160487084870849,0.147413284132841
"113",1.21119270833333,1.205328125,0.139260416666667,0.164541666666667,0.138140625,0.162786458333333,0.159536458333333
"119",1.375,1.28052631578947,0.185052631578947,0.165631578947368,0.179052631578947,0.165421052631579,0.165421052631579
"158",1.10584946236559,1.18710752688172,0.134494623655914,0.140311827956989,0.119462365591398,0.140268817204301,0.149344086021505
"172",0.982571428571429,0.940126050420168,0.101243697478992,0.131134453781513,0.0999579831932773,0.124008403361345,0.135428571428571
